Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
GALAX HOF Tactical M1 White Dual Mode Wireless/Wired Gaming Mouse RGB,Enter Komputer Official,Rp943.000,5,5,https://www.tokopedia.com/enterkomputer/galax-hof-tactical-m1-white-dual-mode-wireless-wired-gaming-mouse-rgb?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,Ukuran mouse pas ditangan. Nyaman dan praktis tinggal plug and play Best value mouse
Fantech ARIA E XD7E Wireless Gaming Mouse,Enter Komputer Official,Rp399.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-aria-e-xd7e-wireless-gaming-mouse-1731042065777133532?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
SteelSeries Aerox 3 Snow Edition Wireless Gaming Mouse,Enter Komputer Official,Rp1.750.000,4,5,https://www.tokopedia.com/enterkomputer/steelseries-aerox-3-snow-edition-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Razer DeathAdder Essential - White - Gaming Mouse,Enter Komputer Official,Rp245.000,80+,5,https://www.tokopedia.com/enterkomputer/razer-deathadder-essential-white-gaming-mouse?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"barang bagus sesuai deskripsi, belum ad dedicated tombol buat dpi tapi bisa di atur dari software razer nya jadi aman. || Feelnya sama ama DA 2013, tapi yg skrg ada tmbahan grip pada bagian jempol jdi gak licin.. Mantap dah.. Proses dri enterkom cepet, pakingan super aman pake 5 lapis bubble... || Packaging rapi berlapis lapis bubble wrapnya, harga bersaing, nice👍"
Logitech G PRO X Superlight 2 Lightspeed Wireless Gaming Mouse White,Enter Komputer Official,Rp2.248.000,9,4.8,https://www.tokopedia.com/enterkomputer/logitech-g-pro-x-superlight-2-lightspeed-wireless-gaming-mouse-white?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Barang sih bagusnya parah, no debat laah.. 100% legit.. Hanya minta tolong admin lebih kompak lagi klo kasih solusi, paket saya sempat terkatung2 krn ga ada info bahwa k... || Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. || pengiriman same day telat sehari tp barang aman"
Fantech Raigor II WG10 Gaming Mouse,Enter Komputer Official,Rp87.000,21,4.7,https://www.tokopedia.com/enterkomputer/fantech-raigor-ii-wg10-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. || belum di cek,semoga sesuai dan berfungsi dengan baik || stok display kurang update, fantech raigor out of stock, diganti dengan rexus xierra lebih mahal 11ribu tolong enter komputer agar barang yg dipajang untuk selalu ready..."
Fantech ARIA II PRO XD7 V2P Wireless Gaming Mouse,Enter Komputer Official,Rp999.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-aria-ii-pro-xd7-v2p-wireless-gaming-mouse-1731042007825024988?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Logitech G502 Gaming Mouse Proteus Hero,Enter Komputer Official,Rp690.000,60+,4.9,https://www.tokopedia.com/enterkomputer/logitech-g502-gaming-mouse-proteus-hero?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"sudah sampai barangnya tapi minusnya sempet rusak kardus dalamnnya || Bagus responsif banyak fungsi. kekurangan ngga kaya G502 yang dulu, kabelnya naked plastik/karet, bukan sleeved/braided || Barang sesuai deskripsi, telah diterima dengan baik, barang dipacking dengan sangat baik, fast respon, dan pengiriman cepat."
Logitech G102 V2 Lightsync Gaming Mouse,Enter Komputer Official,Rp269.000,750+,5,https://www.tokopedia.com/enterkomputer/logitech-g102-v2-lightsync-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"response super cepat, pengiriman cepat dan barang original. cocok untuk gaming dan harga tidak terlalu mahal || produk sesuai pesanan, pengiriman lancar, toko komputer langganan di bandung, seller ramah dan komunilatif || bobot pas , di tangan juga enak , lightsync nya keren."
Fantech KANATA S WG9S Rechargeable Wireless Gaming Mouse - Yellow,Enter Komputer Official,Rp329.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-kanata-s-wg9s-rechargeable-wireless-gaming-mouse-yellow-1731042842613286876?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Fantech ARIA II XD7 V2 Wireless Gaming Mouse,Enter Komputer Official,Rp599.000,-,-,https://www.tokopedia.com/enterkomputer/fantech-aria-ii-xd7-v2-wireless-gaming-mouse-1731041301399832540?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
SteelSeries Rival 3 Wireless - Gaming Mouse,Enter Komputer Official,Rp950.000,30+,5,https://www.tokopedia.com/enterkomputer/steelseries-rival-3-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Packing luar biasa, berlapis2 tebal. Pengiriman super kilat padahal antar pulau. Dari mousenya sendiri udah ga usah diraguin lagi. makasih ya kk. || Nyaman dan praktis tinggal plug and play, Ukuran mouse pas ditangan. Best value mouse || berfungsi dgn baik, sayangnya beli karena mouse lama scroll mati ga respon, tapi pas udah pesan, besok paginnya normal malah jadi lebih bagus dari biasanya. dasar mouse a..."
