Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Lamzu Maya Doodle Champion Ultralight Wireless Gaming Mouse Pixart 3950 Optical Switch,FRAG GAMING STORE,Rp1.849.000,16,5,https://www.tokopedia.com/fraggamingstore/lamzu-maya-doodle-champion-ultralight-wireless-gaming-mouse-pixart-3950-optical-switch?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,Mantap
Fantech Aria 2 / II 8K XD7V2P Pro / Aria E Lightweight Gaming Mouse Aria2 AriaII XD7 V2P Wireless Multiconnection - XD7-E Black,FRAG GAMING STORE,Rp389.000,40+,5,https://www.tokopedia.com/fraggamingstore/fantech-aria-2-ii-8k-xd7v2p-pro-aria-e-lightweight-gaming-mouse-aria2-ariaii-xd7-v2p-wireless-multiconnection-xd7-e-black-41cc0?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"mousenya ringan banget, distribusi bobot lumayan merata, tapi agak kecil buat saya yang punya ukuran tangan 21 x 11 || untuk PELAYANAN THE BEST sih tapi untuk mousenya sendiri entah kenapa feel clicknya lebih STIFF/KERAS dibanding versi pertama, coating udah di improve dan juga beratnya y... || Barang sesuai deskripsi. Akurasi mouse mantap. Jika pakai BT, untuk sy tidak terasa delaynya, ketika ditest response time vs 2.4ghz, rata2 response sy hanya berbeda ~10ms..."
WLMouse Beast X 8K x Fabulous Beasts Gaming Mouse WL Mouse WLMousebeastx WLMousebeast - Tian Lu,FRAG GAMING STORE,Rp2.899.000,25,4.9,https://www.tokopedia.com/fraggamingstore/wlmouse-beast-x-8k-x-fabulous-beasts-gaming-mouse-wl-mouse-wlmousebeastx-wlmousebeast-tian-lu-be174?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"BARANG BAGUS BANGET, admin fast respon dan trusted || Ukuran mouse pas ditangan. Best value mouse || Servis admin sangat baik, barang sesuai ekspektasi. Pengiriman cepat pesan siang sampai sore"
Lamzu Maya 4K Ultralight Ergonomic Wireless Mouse 2.4Ghz Included 4K - Hitam,FRAG GAMING STORE,Rp1.699.000,10,5,https://www.tokopedia.com/fraggamingstore/lamzu-maya-4k-ultralight-ergonomic-wireless-mouse-2-4ghz-included-4k-hitam-a5f19?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,Mantap keren pisann Seller best service Pengriman rapih || Hampir tidak ada delay untuk wirelessnya
Vortexseries Oni X1 Vortex Oni X1 with Charging Dock Gaming Mouse Wireless Vortex series - Hitam,FRAG GAMING STORE,Rp499.000,100+,4.9,https://www.tokopedia.com/fraggamingstore/vortexseries-oni-x1-vortex-oni-x1-with-charging-dock-gaming-mouse-wireless-vortex-series-hitam-4217f?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"kondisi bagus, tapi belum di coba semoga lancar dan tanpa kendala || mousenya ringan dan nyaman dipakai. Cocok untuk main game, bisa wireless, pakai kabel atau Bluetooth || awalnya mau co oni x1 tapi ternyata kata adminnya stoknya udh abis. lalu disarankanlah inno x3 di harga yg sama udh menang spek tp blm pake charging dock. tapi overall pa..."
Logitech G304 White / Putih Lightspeed Wireless Gaming Mouse,FRAG GAMING STORE,Rp549.000,12,5,https://www.tokopedia.com/fraggamingstore/logitech-g304-white-putih-lightspeed-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"Bobot yang ringan jadi enak buat dipakai, koneksitasnya jg cepet || isss, ganteng brother.... tq tq...."
"Rexus Daxa Air 4 / Daxa AIr IV Gen 2 V2 - Gaming Mouse Daxair4 - Hitam, CASE MINT",FRAG GAMING STORE,Rp599.000,90+,5,https://www.tokopedia.com/fraggamingstore/rexus-daxa-air-4-daxa-air-iv-gen-2-v2-gaming-mouse-daxair4-hitam-case-mint?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"fast respon, dan tidak mengecewakan 👍 Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse || adminnya super duper informatif, karna daxa 4 nya sudah ga produksi, akhirnya disarankan ke vortex inno x2. trims admin || pengiriman aman. packing rapi. seller responsip"
Attack Shark X6 Wireless Gaming Mouse PAW3395 with Magnetic Charging Dock - BLACK,FRAG GAMING STORE,Rp580.000,50+,5,https://www.tokopedia.com/fraggamingstore/attack-shark-x6-wireless-gaming-mouse-paw3395-with-magnetic-charging-dock-1730805705620751768?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"mouse nya bagus, sehat wal afiat, gaada cacat sama sekali, di pakai main cs enak juga, semoga bisa awet lama dah mouse ini || mantul gini sesuai dengan request dan pengiriman jg gercep, good job seller 👍👍 || Simpel, elegan, terjangkau, mantap lah pokoknya merek ini, temen2 suka pada penasaran sama mouse ini karna bagi mereka mouse ini oke bgt buat main fps"
Vortexseries Vortex INNO X2 Super Light Wireless Gaming Mouse - X3-MERAH,FRAG GAMING STORE,Rp499.000,500+,5,https://www.tokopedia.com/fraggamingstore/vortexseries-vortex-inno-x2-super-light-wireless-gaming-mouse-x3-merah-28f44?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"mungkin mahal krn punya 3 macam koneksi, khusus bluetooth harus ver.4 keatas baru bisa terkoneksi dengan mouse ini. clicking, scroling terasa nyaman tanpa keluhan || Barang sesuai deskripsi original. Berfungsi dengan baik. Kualitas OK. Harga lumayan. Dapat free emas. Baru dipakai biasa bekum buat game || mantap enak banget dipakai, response nya terasa beda dibanding mouse sebelumnya pas di mode wireless ditambah dapet adaptor dongle jadi bisa kita pasang deketan biar lebi..."
Pulsar X2 V2 Ultra-Lightweight Wireless Gaming Mouse PulsarX2v2 X2V2 - Hitam,FRAG GAMING STORE,Rp1.549.000,11,5,https://www.tokopedia.com/fraggamingstore/pulsar-x2-v2-ultra-lightweight-wireless-gaming-mouse-pulsarx2v2-x2v2-hitam-0919a?extParam=src%3Dshop%26whid%3D2412325&aff_unique_id=&channel=others&chain_key=,"mantap, thanks"
