Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Fantech Helios II 1K XD3 V3 Lightweight Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp599.000,15,5,https://www.tokopedia.com/chemicygaming/fantech-helios-ii-1k-xd3-v3-lightweight-wireless-gaming-mouse-putih-32306?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Nyaman dan praktis tinggal plug and play || memang terbaik, admin nya juga responsif banget. pengiriman cepat dan tepat waktu || Best value mouse"
Fantech Aria XD7 Ultra-Lightweigth Wireless Bluetooth Gaming Mouse - Aria E Black,Chemicy Gaming,Rp389.000,28,5,https://www.tokopedia.com/chemicygaming/fantech-aria-xd7-ultra-lightweigth-wireless-bluetooth-gaming-mouse-aria-e-black-b9217?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"spek gak bohong, ringan dan sensor top buat wireless, masih responsif padahal lagi ditandem pake redragon k621 dan arctis 1 wireless. kagetnya sih paling pengiriman bukan... || packing rapih, pengiriman terhitung cepat, mousenya mantapp || Mantep, langsung unboxing pake prime melee di ascent nih"
Ajazz AJ099 Ultra-lightweight Dual Mode Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp299.000,30+,4.9,https://www.tokopedia.com/chemicygaming/ajazz-aj099-ultra-lightweight-dual-mode-wireless-gaming-mouse-putih-5a94f?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Ada issue di devicenya, Switch powernya harus agak kendor dikit biar bisa nyala mousenya. But overall ok bgt after salesnya chemicy || Ukuran mouse pas ditangan. Nyaman dan praktis tinggal plug and play || packing aman, proses cepat.. next time klo cari apa² better kesini lagi dah"
Endgame Gear XM1R Lightweight Gaming Mouse - Dark Reflex,Chemicy Gaming,Rp549.000,100+,5,https://www.tokopedia.com/chemicygaming/endgame-gear-xm1r-lightweight-gaming-mouse-dark-reflex?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Enak mousenya pas ditangan, ringan dan kualitasnya bahannya juga bagus. || Keren sekali mousenya, dari yang tadi rip aim sekarang dikira pakai aimbot 😱🥶👍👍 || asal bisa manage kabelnya mah ini berasa wireless gaming mouse dan untuk responsifitasnya tidak usah diragukan lagi pasti auto headshot 🥶"
Razer Deathadder Essential - Essential Gaming Mouse,Chemicy Gaming,Rp259.000,500+,5,https://www.tokopedia.com/chemicygaming/razer-deathadder-essential-essential-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Barang berfungsi dengan baik dan semoga awet terus dan garansinya juga. Admin juga fast respon dan langsung bisa dikirim. || packing mantap, original, fast response, sesuai deskripsi ya || Buat yang tangannya gede ini enak banget dan ga keliatan kayak mouse harga 200 ribuan menurut saya 😍"
HyperX Pulsefire Surge RGB,Chemicy Gaming,Rp849.000,30+,5,https://www.tokopedia.com/chemicygaming/hyperx-pulsefire-surge-rgb?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Lancar, cpt delivery-nya || Recommended and fast respond ! Trusted pokoknya || Mesti mousepad hyperx biar mantep"
Logitech G102 V2 Lightsync RGB Gaming Mouse - Putih,Chemicy Gaming,Rp259.000,250+,5,https://www.tokopedia.com/chemicygaming/logitech-g102-v2-lightsync-rgb-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"emang sayang kale aku sm chemicy gaming lope gede buat admin dan semua 👏🏻👍🏻 || sellernya ramah dan fastresp, barang ok dan sesuai, overall good || packing aman barang cepat sampai"
Razer Deathadder V3 Pro Ultralight Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp2.505.000,30+,5,https://www.tokopedia.com/chemicygaming/razer-deathadder-v3-pro-ultralight-wireless-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Pengiriman cepat, packing sangat aman, barangnya mantap, jauh lebih ringan dari G703 😘 || Pelayanan cepat, packingannya rapi. Mantap || dah sampe gan, cepet bgt. recommended seller"
Steelseries Rival 5 RGB Gaming Mouse,Chemicy Gaming,Rp1.149.000,30+,5,https://www.tokopedia.com/chemicygaming/steelseries-rival-5-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"barang sih kualitas nya udh OK bgt kalo admin nya gercep banget || Seller responsif, pengiriman cepat, packing aman || servis nya mantab, barang nya lebih gede dari perkiraan"
Razer Deathadder V3 Ultra-Lightweight Gaming Mouse,Chemicy Gaming,Rp1.129.000,8,5,https://www.tokopedia.com/chemicygaming/razer-deathadder-v3-ultra-lightweight-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Kualitas mantap 👍🏻
