Nama,Harga,Rating,Link,Komentar
MSI OPTIX G273QF Monitor IPS 165Hz WQHD G-Sync Compatible,Rp7.200.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-g273qf-monitor-ips-165hz-wqhd-g-sync-compatible?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI Optix MEG381CQR Plus 37.5"" Curved - Gaming Monitor",Rp34.410.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-meg381cqr-plus-37-5-curved-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
LENOVO G27-20 144Hz NVIDIA G-SYNC Compatible - Gaming Monitor,Rp3.689.000,-,https://www.tokopedia.com/goodgamingshop/lenovo-g27-20-144hz-nvidia-g-sync-compatible-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Monitor MSI Modern MD271P 27"" - Gaming monitor",Rp3.990.000,-,https://www.tokopedia.com/goodgamingshop/monitor-msi-modern-md271p-27-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
MSI MPG ARTYMIS 323CQR WQHD 165Hz Curve - Gaming Monitor,Rp12.749.000,-,https://www.tokopedia.com/goodgamingshop/msi-mpg-artymis-323cqr-wqhd-165hz-curve-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"CoolerMaster GM34-CW2 34"" Curved Monitor 1500R 144hz UWQHD Ultrawide",Rp7.699.000,-,https://www.tokopedia.com/goodgamingshop/coolermaster-gm34-cw2-34-curved-monitor-1500r-144hz-uwqhd-ultrawide?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
MSI MPG Artymis 273CQRX-QD WQHD Curved 240hz G-Sync - Gaming Monitor,Rp20.860.000,-,https://www.tokopedia.com/goodgamingshop/msi-mpg-artymis-273cqrx-qd-wqhd-curved-240hz-g-sync-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Lenovo G24-10 144Hz NVIDIA G-Sync Compatible - Gaming Monitor,Rp2.789.000,-,https://www.tokopedia.com/goodgamingshop/lenovo-g24-10-144hz-nvidia-g-sync-compatible-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI OPTIX G2412 - IPS PANEL 170Hz 1MS 23.8"" GAMING MONITOR",Rp3.999.999,-,https://www.tokopedia.com/goodgamingshop/msi-optix-g2412-ips-panel-170hz-1ms-23-8-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Nitro VG241YX FreeSync (FHD 270Hz) - Gaming Monitor,Rp4.495.000,-,https://www.tokopedia.com/goodgamingshop/nitro-vg241yx-freesync-fhd-270hz-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"Monitor LED Digital Alliance 34"" 165Hz VA 4K Curved D34-4KRE165 - Monitor Gaming",Rp3.679.000,-,https://www.tokopedia.com/goodgamingshop/monitor-led-digital-alliance-34-165hz-va-4k-curved-d34-4kre165-monitor-gaming?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS ProArt PA24AC HDR Professional Monitor - WUXGA, HDR-10",Rp7.971.000,-,https://www.tokopedia.com/goodgamingshop/asus-proart-pa24ac-hdr-professional-monitor-wuxga-hdr-10?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"Samsung 27"" T45F Business Monitor - LF27T450FQEXXD",Rp2.599.000,-,https://www.tokopedia.com/goodgamingshop/samsung-27-t45f-business-monitor-lf27t450fqexxd?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
