Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
GIGABYTE GeForce RTX 4060 Ti WINDFORCE OC 8G,Nano Komputer,Rp7.159.000,5,5,https://www.tokopedia.com/nanokomputer/gigabyte-geforce-rtx-4060-ti-windforce-oc-8g?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
COLORFUL iGame GeForce RTX 4060 Ultra W OC 8GB-V,Nano Komputer,Rp6.019.000,15,4.8,https://www.tokopedia.com/nanokomputer/colorful-igame-geforce-rtx-4060-ultra-w-oc-8gb-v?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,top
-,-,-,-,-,https://www.tokopedia.com/terms,
MSI GeForce RTX 4070 SUPER 12G GAMING SLIM World of Warcraft EDITION,Nano Komputer,Rp14.379.000,-,-,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4070-super-12g-gaming-slim-world-of-warcraft-edition?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
PALIT GeForce RTX 4060 Ti Dual White 8GB,Nano Komputer,Rp7.089.000,5,5,https://www.tokopedia.com/nanokomputer/palit-geforce-rtx-4060-ti-dual-white-8gb?extParam=whid%3D382829%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"top banget, sukses selalu"
-,-,-,-,-,https://www.tokopedia.com/official-store,
GIGABYTE GeForce RTX 4060 OC Low Profile 8G,Nano Komputer,Rp5.999.000,-,-,https://www.tokopedia.com/nanokomputer/gigabyte-geforce-rtx-4060-oc-low-profile-8g?extParam=whid%3D382829%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
ASUS ROG Strix GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition,Nano Komputer,Rp14.829.000,8,5,https://www.tokopedia.com/nanokomputer/asus-rog-strix-geforce-rtx-4070-super-12gb-gddr6x-oc-edition?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"packing selalu bikin aman, tebal berlapis2 mantap. vga masih segel dan berjalan normal dan adem. || Aman lancar semua berfungsi normal.."
GALAX GeForce RTX 4070 Ti SG 1-Click OC 12GB GDDR6X,Nano Komputer,Rp11.919.000,-,-,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4070-ti-sg-1-click-oc-12gb-gddr6x-1731474248927708889?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
-,-,-,-,-,https://www.tokopedia.com/about/,
-,-,-,-,-,https://www.tokopedia.com/careers/,
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC,Nano Komputer,Rp7.759.000,9,5,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4060-ti-ventus-2x-black-8g-oc?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Terbaik, banyak nanya diladenin terus, mantap lah || Kalau butuh / belanja parts komputer dengan penjual responsif, ini salah satunya, barang legit jg, nice || Mantap"
GIGABYTE GeForce RTX 4060 WINDFORCE OC 8G,Nano Komputer,Rp5.539.000,21,5,https://www.tokopedia.com/nanokomputer/gigabyte-geforce-rtx-4060-windforce-oc-8g?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Barang nya mantap di tes langsung nyala, tokonya keren || barang sampai dan bekerja dengan baik || wes jala tak coba mudah2an awet kayak vga aq yg lama sudah 15 tahun 😀"
MSI GeForce RTX 4070 SUPER 12G VENTUS 2X OC,Nano Komputer,Rp12.099.000,4,5,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4070-super-12g-ventus-2x-oc?extParam=whid%3D382829%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
-,-,-,-,-,https://seller.tokopedia.com/edu/,
-,-,-,-,-,https://www.tokopedia.com/privacy,
GIGABYTE AORUS GeForce RTX 4070 Ti ELITE 12G,Nano Komputer,Rp15.429.000,1,5,https://www.tokopedia.com/nanokomputer/gigabyte-aorus-geforce-rtx-4070-ti-elite-12g?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,Barang sampai dengan selamat. Untuk rakit tahun depan hahah
-,-,-,-,-,https://www.tokopedia.com/find/charger-mobil,
-,-,-,-,-,https://seller.tokopedia.com/edu/topic/mulai-bisnis/materi-seller-baru/,
Colorful GeForce RTX 4060 NB DUO 8GB V2-V,Nano Komputer,Rp5.479.000,21,5,https://www.tokopedia.com/nanokomputer/colorful-geforce-rtx-4060-nb-duo-8gb-v2-v?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Thank you Nano Komputer, GPU nya berjalan dengan normal dan lancar, pelayanan nya mantap, pesan instant siang, 2 jam sampai 😁 Sudah Testing dengan Benchmark menggunakan... || belum dipasang karena nunggu PSU, tapi overall mantab || mantap gan"
COLORFUL iGame GeForce RTX 4070 Ti SUPER Vulcan W OC 16GB-V,Nano Komputer,Rp19.129.000,-,-,https://www.tokopedia.com/nanokomputer/colorful-igame-geforce-rtx-4070-ti-super-vulcan-w-oc-16gb-v?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
ZOTAC GAMING GeForce RTX 4060 8GB Twin Edge OC,Nano Komputer,Rp5.565.000,100+,4.9,https://www.tokopedia.com/nanokomputer/zotac-gaming-geforce-rtx-4060-8gb-twin-edge-oc?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"VGAnya si aman sejauh ini. tapi kayaknya di dalem boxnya harusnya ada kabel tapi ini ga ada. || respon cepat, pengiriman cepat, seller ramah || fast respon bgt admin nya, pesen langsung dikirim, mantapp"
ASUS ROG Strix GeForce RTX 4070 Ti SUPER 16GB GDDR6X OC Edition,Nano Komputer,Rp19.259.000,9,5,https://www.tokopedia.com/nanokomputer/asus-rog-strix-geforce-rtx-4070-ti-super-16gb-gddr6x-oc-edition?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,Produk aman & sampai tujuan. terima Kasih Nano Komputer selalu langganan kalau beli Komponen PC.
Colorful iGame GeForce RTX 4070 Neptune OC-V,Nano Komputer,Rp13.429.000,-,-,https://www.tokopedia.com/nanokomputer/colorful-igame-geforce-rtx-4070-neptune-oc-v?extParam=whid%3D382829%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
ASUS ROG Strix GeForce RTX 4060 OC Edition 8GB GDDR6,Nano Komputer,Rp6.299.000,40+,5,https://www.tokopedia.com/nanokomputer/asus-rog-strix-geforce-rtx-4060-oc-edition-8gb-gddr6?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Bisa pake psu 650 watt, tadinya bingung mau 3070 atau ini, ternyata yang ini lebih hemat listrik, sellernya fast response, thanks. || ASUS ROG Strix RTX 4060 OC adalah GPU kelas menengah yang menghadirkan performa sangat solid untuk gaming 1080p dan 1440p dengan konsumsi daya yang efisien. Desainnya pre... || respon seller cepet, pengiriman juga sama cepet. Gpu original. asus rog strix sudah di tes nyala tanpa kendala gaming 3 jam aman suhu dingin gk ada masalah"
-,-,-,-,-,https://www.tokopedia.com/discovery/beli-lokal,
-,-,-,-,-,https://www.tokopedia.com/blog/,
-,-,-,-,-,https://www.tokopedia.com/discovery/deals,
-,-,-,-,-,https://affiliate.tokopedia.com/,
MSI GeForce RTX 4070 SUPER 12G GAMING X SLIM,Nano Komputer,Rp13.549.000,9,5,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4070-super-12g-gaming-x-slim?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,Mantap begitu rilis langsung ready dan pengirimannya cepat juga 2 hari sdah sampai dan CSnya cepat tanggap biar malam pun dibalas pokoknya mantap
-,-,-,-,-,https://www.tokopedia.com/mobile-apps,
-,-,-,-,-,https://marketingsolutions.tokopedia.com/,
-,-,-,-,-,https://www.tokopedia.com/cod,
-,-,-,-,-,https://www.tokopedia.com/nanokomputer,
-,-,-,-,-,https://www.tokopedia.com/blog/bmi/,
GALAX GeForce RTX 4080 SUPER ST 1-Click OC 16GB GDDR6X,Nano Komputer,Rp16.719.000,-,-,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4080-super-st-1-click-oc-16gb-gddr6x-1731473952648103641?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
GALAX GeForce RTX 4070 Ti EX Gamer 1-Click OC 12GB GDDR6X,Nano Komputer,Rp12.019.000,-,-,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4070-ti-ex-gamer-1-click-oc-12gb-gddr6x-1731474105256019673?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
ASUS TUF Gaming GeForce RTX 4070 Ti SUPER BTF White OC Edition 16GB GDDR6X,Nano Komputer,Rp18.259.000,2 barang berhasil terjual,-,https://www.tokopedia.com/nanokomputer/asus-tuf-gaming-geforce-rtx-4070-ti-super-btf-white-oc-edition-16gb-gddr6x?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
-,-,-,-,-,https://www.tokopedia.com/find/samsung-note-10,
GALAX GeForce RTX 4070 Ti EX Gamer 1-Click OC V2 12GB GDDR6X,Nano Komputer,Rp12.019.000,18,5,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4070-ti-ex-gamer-1-click-oc-v2-12gb-gddr6x?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Rakit di Nano ngga salah 👍🏻 || Respon cepat , pengiriman cepat, pelayanan terbaik. Sudah sering beli di nano || paket Masih dalam box belum d buka semoga awet"
MSI GeForce RTX 4070 Ti GAMING X SLIM WHITE 12G,Nano Komputer,Rp15.349.000,-,-,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4070-ti-gaming-x-slim-white-12g?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
ASUS PRIME GeForce RTX 4060 Ti 8GB GDDR6 OC Edition,Nano Komputer,Rp7.579.000,1 barang berhasil terjual,-,https://www.tokopedia.com/nanokomputer/asus-prime-geforce-rtx-4060-ti-8gb-gddr6-oc-edition?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
-,-,-,-,-,https://www.tokopedia.com/official-store/brand,
ZOTAC GAMING GeForce RTX 4060 Ti 8GB Twin Edge OC White Edition,Nano Komputer,Rp7.539.000,10,5,https://www.tokopedia.com/nanokomputer/zotac-gaming-geforce-rtx-4060-ti-8gb-twin-edge-oc-white-edition?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"Pengiriman cepat, barang new segel toko, vga zotac value for money banget, ya semoga awet dengan garansi resmi 3thn"
-,-,-,-,-,https://www.tokopedia.com/find/hdd-1tb,
-,-,-,-,-,https://www.tokopedia.com/discovery/promo-guncang,
-,-,-,-,-,https://www.tokopedia.com/daftar-halaman/,
-,-,-,-,-,https://www.tokopedia.com/discovery/tokopedia-farma,
-,-,-,-,-,https://seller.tokopedia.com/edu/official-store/,
-,-,-,-,-,https://www.tokopedia.com/help?nref=helpfooter,
-,-,-,-,-,https://www.tokopedia.com/find/xbox-series-x,
-,-,-,-,-,https://www.tokopedia.com/,
GALAX GeForce RTX 4080 16GB ST 1-Click OC GDDR6X,Nano Komputer,Rp15.459.000,-,-,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4080-16gb-st-1-click-oc-gddr6x-1731473815609444057?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
-,-,-,-,-,https://www.tokopedia.com/perlindungan-kekayaan-intelektual,
-,-,-,-,-,https://www.tokopedia.com/partner,
MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC,Nano Komputer,Rp5.729.000,15,5,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4060-ventus-2x-black-8g-oc?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"seller enak diajak konsultasi, fast respon walaupun bukan jam operasional toko, recommended seller 👍🏻👍🏻👍🏻 Pengiriman cepat walaupun PO karena beli banyak tapi 1 har... || Sebenernya kemarin mau ambil 4080, tapi ada keperluan mendesak. Jadi saya putuskan ambil 4060 sambil nunggu seri 6000 keluar, ntah kapan itu wkwkwkwk. Terima kasih bara... || Produk sesuai deskripsi, sudah dicoba dan berfungsi dengan baik, respon cepat, packing sangat aman."
GALAX GeForce RTX 4080 16GB SG 1-Click OC GDDR6X,Nano Komputer,Rp15.749.000,-,-,https://www.tokopedia.com/nanokomputer/galax-geforce-rtx-4080-16gb-sg-1-click-oc-gddr6x-1731473730847344345?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
ASUS Dual GeForce RTX 4060 EVO White OC Edition 8GB GDDR6,Nano Komputer,Rp5.749.000,10,5,https://www.tokopedia.com/nanokomputer/asus-dual-geforce-rtx-4060-evo-white-oc-edition-8gb-gddr6?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,Mantapp langsung dirakitin GGWP Nano Komputer || Mantap dan recommended
-,-,-,-,-,https://www.tokopedia.com/discovery/bebas-ongkir,
-,-,-,-,-,https://www.tokopedia.com/find/samsung-a73,
MSI GeForce RTX 4070 SUPER 12G VENTUS 2X WHITE OC,Nano Komputer,Rp12.409.000,1 barang berhasil terjual,-,https://www.tokopedia.com/nanokomputer/msi-geforce-rtx-4070-super-12g-ventus-2x-white-oc?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,
ZOTAC GAMING GEFORCE RTX 4060 Ti 16GB AMP,Nano Komputer,Rp8.389.000,70+,5,https://www.tokopedia.com/nanokomputer/zotac-gaming-geforce-rtx-4060-ti-16gb-amp?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,"respon penjual responsip dan ramah. packing sangat/super aman, baru kali ini barang di bungkus 2 buble wrap. rekomendasi pokoknya. penjual sangat amanah || mantaaaap, gaming everrytime, unlimited performa || pengemasannya rapi sekali. aman. sempat kuatir krn lama banget di pengiriman. 7 hari baru nyampe. untungnya barangnya aman2 saja. sdh dipasang dan dipakai. so far so good..."
COLORFUL iGame GeForce RTX 4060 Ultra W DUO OC 8GB-V,Nano Komputer,Rp5.789.000,16,5,https://www.tokopedia.com/nanokomputer/colorful-igame-geforce-rtx-4060-ultra-w-duo-oc-8gb-v?extParam=src%3Dshop%26whid%3D382829&aff_unique_id=&channel=others&chain_key=,Alhamdulillah hoki beli awal sebelum naik harganya wkwk || Alhamdulillah semoga aman semua komponennya pc baru aku rakit sendiri haha || mantap ghania
-,-,-,-,-,https://www.tokopedia.com/find/pull-up-bar,
