Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
"Fantech ARIA II XD7 / XD7E / XD7-E Gen 2 Wireless 3in1 Mouse Gaming Rechargeable Bluetooth 2.4GHz Wired - Hitam, FREE EMAS",TokoTeknoPro,Rp899.000,500+,4.9,https://www.tokopedia.com/tokoteknopro/fantech-xd7-aria-wireless-3in1-connection-gaming-mouse-hitam-free-emas?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"kerenn sih ini mousenya, ringan banget, sensornya juga mantep, ditangan pas bgt || mouse terbaik yang pernah gua beli! spek nya bagus, enteng dipake, software tinggal download ga susah, pas di tangan jugaaa hehehe jadi cocok deh ama keyboard gua 😁 || Bro, this is real underrated gear. Local Pride beneran si ini yakin. Nyaman banget dipake asli ga rugi pake ni mouse. semoga tahan segala penyakit double click deh. ty fo..."
Fantech WG10 Raigor Gaming Wireless Mouse - Merah,TokoTeknoPro,Rp73.000,100+,4.8,https://www.tokopedia.com/tokoteknopro/fantech-wg10-raigor-gaming-wireless-mouse-merah?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan. Best value mouse. || pesan warna abu-bu di kasih hitam. tidak diberi keterangan ternyata bukan silent click || Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.. Best value mouse.
Aula S20 / S-20 Gaming Wired Mouse Macro Software,TokoTeknoPro,Rp72.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/aula-s20-s-20-gaming-wired-mouse-macro-software?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"seller ramah, baru order langsung dikonfirmasi terus dikirim hari itu juga, seller jg fast respon, the best lah, 3 hari pemesanan udah langsung sampai, software juga beke... || Recomaded bgt belanja disini, kemarin waktu belanja lupa salah alamat ke rmh yg lama pengirimannya, chat lsg dibales dan dikasi solusi terbaik. Pokoknya gak nyesel deh be... || Mouse nya berat ga ngapung, kecepatan kursor jg bisa diatur, rgb nya bagus, pengiriman lmyn cepat meskipun delay, pokonya mantab mantab mantab"
VortexSeries GX770 / GX-770 RGB Honeycomb Gaming Mouse,TokoTeknoPro,Rp375.000,40+,4.8,https://www.tokopedia.com/tokoteknopro/vortexseries-gx770-gx-770-rgb-honeycomb-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,
Rexus X16 Xierra Wired RGB Gaming Mouse Garansi Resmi Hitam Led - Hitam,TokoTeknoPro,Rp149.000,500+,4.8,https://www.tokopedia.com/tokoteknopro/rexus-x16-xierra-wired-rgb-gaming-mouse-garansi-resmi-hitam?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Mantap sih mulus cookkk.. Feellll nyaman betul || Barangnya bagus bgt Semua tombol berfungsi Feelnya juga enak dan ada softwarenya Walaupun belom begitu ngerti cara pakenya Mouse ini ternyata besar, tangan saya yg keci... || Kemasan rapi barang juga sesuai kabel nya juga udh bagus moga awet"
Altec Lansing ALBM7422 / ALBM-7422 Wireless Mouse - Putih,TokoTeknoPro,Rp121.000,10,5,https://www.tokopedia.com/tokoteknopro/altec-lansing-albm7422-albm-7422-wireless-mouse-putih?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,Barang sesuai deskripsi dan pesanan. proses packing dan pengiriman cepat. Berfungsi dengan di semua koneksi. || Mouse recommended Sensifitas mousenya baik Mouse berfungsi dengan baik
Logitech M350 Pebble Bluetooth Mouse,TokoTeknoPro,Rp260.000,250+,5,https://www.tokopedia.com/tokoteknopro/logitech-m350-pebble-bluetooth-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"pengiriman & respon cepat, recommend seller || ringkas dan bisa dua mode, bluetooth dan wireless || Mouse recommended. Bagus untuk kerja sehari-hari. Mouse berfungsi dengan baik. Sensifitas mousenya baik."
"Fantech XD3 Helios Wireless Gaming Mouse - Pink, FREE MP25",TokoTeknoPro,Rp559.000,500+,4.9,https://www.tokopedia.com/tokoteknopro/fantech-xd3-helios-wireless-gaming-mouse-1729429161827797612?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Proses pengiriman cepat, seller ramah dan dapet bonus juga. Barang juga bagus. || Barang diproses cepat, dan dikirim sesuai dengan waktu estimasi. Barangnya aman tidak ada kerusakan pada paket dan berfungsi dengan baik. || barangnya bagus sudah sampai, penjual juga responsif dan ramah 😁"
Rexus S5 Aviator Wireless Gaming Mouse Baterai - Hitam,TokoTeknoPro,Rp95.000,750+,4.9,https://www.tokopedia.com/tokoteknopro/rexus-s5-aviator-wireless-gaming-mouse-garansi-resmi-1-tahun-rexus-hitam?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Dari segi barang, barangnya oke banget sih. Saya beli yang warna putih. Putihnya itu elegan dan terasa fancy gitu. Terus dari segi beratnya, jujur menurut saya mouse ini... || Mantap poll, ringan nyaman dipakai. Cocok setup low budgade mantaplah || Mouse nya lumayan, bahan nya kerasa murah plastiknya. ga ada yang spesial tapi wajar harganya cuman 100rb."
-,-,-,-,-,https://www.tokopedia.com/tokoteknopro/armaggeddon-scorpion-3-wired-gaming-mouse-1729476942123141740?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,
Altec Lansing ALBM7314 / ALBM-7314 Wireless Silent Click Mouse,,Rp183.000,15,4.9,https://www.tokopedia.com/tokoteknopro/altec-lansing-albm7314-albm-7314-wireless-silent-click-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,Mouse recommended Mouse berfungsi dengan baik Bagus untuk kerja sehari-hari ||  || 
Sades Void RGB Wired Gaming Mouse - Putih,TokoTeknoPro,Rp499.000,29,5,https://www.tokopedia.com/tokoteknopro/sades-void-rgb-wired-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Barang sudah sampai,baru di tes fisik nya aman, walau di packing bubble ny ada robek sedikit tapi aman karena masih ada kotak mouse nya. Mouse void keluaran beberapa tahu... || build quality nya bagus, mulai dari build material dan texturenya || Mousenya Lelaki, bukan cowo karena lakik suka yang berat berat"
Altec Lansing ALBM7234 / ALBM-7234 Wireless Mouse,TokoTeknoPro,Rp67.000,19,5,https://www.tokopedia.com/tokoteknopro/altec-lansing-albm7234-albm-7234-wireless-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"produk ok, packaging baik, pengiriman cepat"
Sades Void RGB Wired Gaming Mouse,TokoTeknoPro,Rp499.000,29,5,https://www.tokopedia.com/tokoteknopro/sades-void-rgb-wired-gaming-mouse?extParam=whid%3D1363926%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Barang sudah sampai,baru di tes fisik nya aman, walau di packing bubble ny ada robek sedikit tapi aman karena masih ada kotak mouse nya. Mouse void keluaran beberapa tahu... || build quality nya bagus, mulai dari build material dan texturenya || Mousenya Lelaki, bukan cowo karena lakik suka yang berat berat"
Fantech XD5 Helios GO Ultralight Wireless Gaming Mouse,TokoTeknoPro,Rp629.000,250+,5,https://www.tokopedia.com/tokoteknopro/fantech-xd5-helios-go-ultralight-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Produknya datang dengan aman, tapi ketika saya buka bungkusan bubble wrap, plastik kemasan segel sudah di buka. Kotaknya juga ada bau ciri khas ""gudang"", maklum s... || Kalau boleh jujur, mouse ini lebih masuk akal pas harganya di 200rb. Karena meskipun udah wireless, saya prefer basilisk v3 di harga 600rban. XD5 sendiri sebenernya enak... || Ya iyalah bagus, soalnya dapet harga diskon akwoakwok dri 600k jdi 200k Material, Sensor, Switch, RGB, Battery Topp Untuk Palm Grip / Crawl Grip (Tangan di atas 18 cm) E..."
Logitech G102 V2 Lightsync RGB Gaming Mouse RESMI DAN BERGARANSI,TokoTeknoPro,Rp245.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/logitech-g102-v2-lightsync-rgb-gaming-mouse-resmi-dan-bergaransi?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"jawaban pertanyaan di chat sangat tidak profesional dan jawabannya sangat menyinggung. || Mousenya baru 3 hari pake double clicknya udh letoy.. Kliatannya kayak sudah pernah dibongkar. Soalnya code di mouse & di box g sama. Ngirimnya ngasal box penyok smua... || Recommended parahh, pesan jam 3 siang, besoknya jam 11 sampai, ga sampe 24 jamm gokilll"
Fantech X9 Thor Gaming Mouse Standard Macro,TokoTeknoPro,Rp95.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/fantech-x9-thor-gaming-mouse-standard-macro?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"mantap kak emang the best udh murah, cepet responnya dan terpercaya, ngirimnya juga cepet || mousenya bagus 10/10 , pengiriman cepat sampai dalam 2 hari , kondisi mulus aman, packaging nya sangat aman, puas deh, recommended banget 👍👍 || keren dan Cukup bagus dengan harga yang terjangkau kualitas Ok. Sellernya juga Cepat respon nya 👍"
Rexus Daxa Air II / 2 Wireless Gaming Mouse,TokoTeknoPro,Rp675.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/rexus-daxa-air-ii-2-wireless-gaming-mouse?extParam=whid%3D1363926%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Buat penjual respon baik, jelas dan cepat 👍🏼 Buat paket ternyata dapat bonus sticker hitam buat tekstur gitu(?) Buat barang bagus mulus masih segel, enteng banget ga... || pengiriman sangat cepat, respon penjual sangat cepat, barang original dan berfungsi dengan baik, desain mouse juga keren. Buat kado suamiku keren banget Nyaman dan prakti... || Best value mouse. Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.."
